"SF_MARKA","SF_MODEL","SF_VERSIYON","TSB_TIP_ADI"
"FORD","Yeni E-Transit Kamyonet","Deluxe Tek Kabin (Jumbo Şasi, Kasalı), 350E, 198KW, Otomatik, Elektrik","(TSB'de bulunamadı)"
"FORD","Yeni Journey Courier BEV","Titanium Kombi, 100KW, Otomatik, Elektrik","(TSB'de bulunamadı)"
"FORD","Journey Courier","Deluxe Kombi, 1.0L EcoBoost 125PS, 6 İleri Manuel, Benzin","(TSB'de bulunamadı)"
"FORD","Journey Courier","Titanium Kombi, 1.0L EcoBoost 125PS, 7 İleri Otomatik, Benzin","(TSB'de bulunamadı)"
"FORD","E-Transit Minibüs","Deluxe Minibüs Minibüs (Uzun Şasi 14+1) 420L 14+1 198KW Otomatik Elektrik","(TSB'de bulunamadı)"
"FORD","Yeni E-Transit Van","Trend Van (Uzun Şasi) 350L, 11m3 198KW","(TSB'de bulunamadı)"
"FORD","Yeni Transit Minibüs","Limited  Minibüs (Jumbo Şasi, 16+1), 440E, 16+1, 2.0L EcoBlue Upgrade 165PS, 10 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Yeni Transit Minibüs","Limited  Minibüs (Jumbo Şasi, 16+1), 460ED, 16+1, 2.0L EcoBlue Upgrade 165PS, 10 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"FORD","Ranger","XLT 4x4 2.0L Ecoblue 170PS 6 İleri Otomatik Dizel","(TSB'de bulunamadı)"
"FORD","Ranger","Wildtrak 4x4, 3.0L Ecoblue 240PS, 10 İleri Otomatik, Dizel","(TSB'de bulunamadı)"
"OPEL","Combo Life","Edition 1.5 Dizel AT-8 130 HP","(TSB'de bulunamadı)"
"OPEL","Combo Life","Ultimate 1.5 Dizel AT-8 130 HP","(TSB'de bulunamadı)"
"OPEL","Frontera Elektrik","GS 54 kWh Batarya - Uzun Menzil","(TSB'de bulunamadı)"
"OPEL","Frontera Elektrik","GS 44 kWh Batarya","(TSB'de bulunamadı)"
"OPEL","Vivaro Cargo","Ultimate XL 2.2 150 HP Dizel MT6","(TSB'de bulunamadı)"
"OPEL","Corsa Elektrik","GS 100kW (136 bg)","(TSB'de bulunamadı)"
"OPEL","Combo Elektrik","Edition  Elektrikli 100 kW","(TSB'de bulunamadı)"
"OPEL","Movano Minibüs","L4H2 15m3 4 Ton (Servis 16+1) 2.2 140 HP Dizel MT6","(TSB'de bulunamadı)"
"DACIA","Jogger","Extreme Eco-G 120 auto-7 koltuklu","(TSB'de bulunamadı)"
"HYUNDAI","İ20","Jump 1.0 T-GDI 90 PS","(TSB'de bulunamadı)"
"HYUNDAI","İ20","Style 1.0 T-GDI 90 PS","(TSB'de bulunamadı)"
"HYUNDAI","İ20","Style GSR II-C 1.0 T-GDI 90 PS","(TSB'de bulunamadı)"
"HYUNDAI","İ20","Elite 1.0 T-GDI 90 PS","(TSB'de bulunamadı)"
"HYUNDAI","İ20","Elite GSR II-C 1.0 T-GDI 90 PS","(TSB'de bulunamadı)"
"HYUNDAI","Yeni Bayon","Jump 1.0 T-GDI 90PS","(TSB'de bulunamadı)"
"BMW","1 Serisi","M Sport  BMW 120 Mild Hybrid - Benzin","(TSB'de bulunamadı)"
"BMW","1 Serisi","Sport Line 120 Mild Hybrid - Benzin","(TSB'de bulunamadı)"
"BMW","İ7","Pure Excellence xDrive60 elektrik 544 BG","(TSB'de bulunamadı)"
"BMW","İ7","M Excellence xDrive60 elektrik 544 BG","(TSB'de bulunamadı)"
"BMW","İ7","M Sport  i7 M70 xDrive","(TSB'de bulunamadı)"
"BMW","5 Serisi Sedan","M Sport BMW 520i Sedan","(TSB'de bulunamadı)"
"BMW","5 Serisi Sedan","Edition M Sport BMW 520i Sedan","(TSB'de bulunamadı)"
"BMW","5 Serisi Sedan","M Sport 520d xDrive Mild Hybrid-Dizel 197 BG","(TSB'de bulunamadı)"
"BMW","5 Serisi Sedan","Edition M Sport BMW 520d xDrive Sedan","(TSB'de bulunamadı)"
"BMW","7 Serisi","Pure Excellence 740d xDrive Mild Hybrid - Dizel 300 BG","(TSB'de bulunamadı)"
"BMW","7 Serisi","M Excellence 740d xDrive Mild Hybrid - Dizel 300 BG","(TSB'de bulunamadı)"
"BMW","İX","M Sport xDrive60","(TSB'de bulunamadı)"
"BMW","İX","M M70 xDrive","(TSB'de bulunamadı)"
"BMW","2 Serisi Active Tourer","Luxury Line 220i Mild Hybrid - Benzin","(TSB'de bulunamadı)"
"BMW","2 Serisi Active Tourer","M Sport 220i Mild Hybrid - Benzin","(TSB'de bulunamadı)"
"BMW","2 Serisi Active Tourer","Luxury Line 230e xDrive","(TSB'de bulunamadı)"
"BMW","2 Serisi Active Tourer","M Sport 230e xDrive","(TSB'de bulunamadı)"
"BMW","3 Serisi Sedan","Sport Line 320i 1.6 170 BG Otomatik","(TSB'de bulunamadı)"
"BMW","3 Serisi Sedan","M Sport 320i 1.6 170 BG Otomatik","(TSB'de bulunamadı)"
"FIAT","Ulysse","Lounge Konfor Paket 2.0 180HP AT8 8+1 2.0 Multijet3","(TSB'de bulunamadı)"
"FIAT","E-Doblo Panorama","MAXI PREMIO 1100kW (136 Hp) 260 Tork","(TSB'de bulunamadı)"
"FIAT","E-Doblo Panorama","PREMIO PLUS M1100kW (136 Hp) 260 Tork","(TSB'de bulunamadı)"
"FIAT","Yeni Ducato Kamyonet","3250M 2.2 140HP Kasalı S2","(TSB'de bulunamadı)"
"FIAT","Yeni Ducato Kamyonet","4200XL 2.2 180Hp S2 A/T","(TSB'de bulunamadı)"
"FIAT","Yeni Ducato Kamyonet","3850L 2.2 140HP Kasalı S2","(TSB'de bulunamadı)"
"FIAT","Yeni Ducato Kamyonet","4200XL 2.2 140HP Kasalı S2","(TSB'de bulunamadı)"
"FIAT","Yeni Ducato Kamyonet","4200XL 2.2 180Hp A/T Kasalı","(TSB'de bulunamadı)"
"FIAT","E-Doblo Cargo","MAXI 100kW (136hp) 260Nm","(TSB'de bulunamadı)"
"FIAT","Yeni Ducato Van","Van Maxi 15m³ 2.2 140HP S2","(TSB'de bulunamadı)"
"FIAT","Yeni Ducato Van","Van Maxi 17m³   2.2 140HP S2","(TSB'de bulunamadı)"
"KIA","EV3","Prestige Standard Range 150 kW Otomatik","(TSB'de bulunamadı)"
"KIA","EV6","Elegance Standard Range EV6 - 125 kW 4X2 Otomatik","(TSB'de bulunamadı)"
"KIA","Sorento","Prestige Smart 1.6L 215 PS 4X4 Otomatik 7 Koltuk","(TSB'de bulunamadı)"
"KIA","EV9","Prestige 149 kW Otomatik 7 Koltuklu","(TSB'de bulunamadı)"
"KIA","EV9","GT-Line 283 kW 4X4 Otomatik 7 Koltuk","(TSB'de bulunamadı)"
"KIA","Niro EV","Elegance 150 kW Otomatik","(TSB'de bulunamadı)"
"BMW","İX1","M Sport eDrive20 Elektrik 150 kW","(TSB'de bulunamadı)"
"BMW","İ4","Sport Line   BMW i4 eDrive40","(TSB'de bulunamadı)"
"BMW","İ4","M Sport BMW i4 eDrive40","(TSB'de bulunamadı)"
"BMW","İ4","Edition M Sport   BMW i4 eDrive40","(TSB'de bulunamadı)"
"BMW","2 Serisi Gran Coupe","Sport Line Otomatik Mild Hybrid - Benzin 170hp","(TSB'de bulunamadı)"
"BMW","2 Serisi Gran Coupe","M Sport Otomatik Mild Hybrid - Benzin 170hp","(TSB'de bulunamadı)"
"BMW","4 Serisi Gran Coupe","M Sport 420i 1.6 170 BG Otomatik","(TSB'de bulunamadı)"
"BMW","4 Serisi Gran Coupe","Edition M Sport 420i 1.6 170 BG Otomatik","(TSB'de bulunamadı)"
"BMW","4 Serisi Cabrio","M Sport 430i xDrive 2.0 245BG","(TSB'de bulunamadı)"
"BMW","M5 Touring","M 530 kW (727 bg)","(TSB'de bulunamadı)"
"BMW","İX2","M Sport BMW iX2 eDrive20","(TSB'de bulunamadı)"
"BMW","İ5","M Sport  i5 eDrive40","(TSB'de bulunamadı)"
"BMW","İ5","Edition M Sport BMW i5 eDrive40","(TSB'de bulunamadı)"
"BMW","İ5","M Sport  i5 xDrive40","(TSB'de bulunamadı)"
"BMW","İ5","M Sport BMW i5 xDrive40 Touring","(TSB'de bulunamadı)"
"BMW","İ5","Edition M Sport BMW i5 xDrive40","(TSB'de bulunamadı)"
"BMW","İ5","Edition M Sport BMW i5 xDrive40 Touring","(TSB'de bulunamadı)"
"BMW","İ5","M M60 81.2 kWh (601 bg) xDrive","(TSB'de bulunamadı)"
"BMW","İ5","M BMW i5 M60 xDrive Touring","(TSB'de bulunamadı)"
"BMW","M2 Coupe","M 480bg Otomatik Benzin","(TSB'de bulunamadı)"
"BMW","4 Serisi Coupe","M Sport 420i 1.6 170 BG Otomatik","(TSB'de bulunamadı)"
"BMW","4 Serisi Coupe","Edition M Sport 420i 1.6 170 BG Otomatik","(TSB'de bulunamadı)"
"PEUGEOT","408","ALLURE 1.2 Hybrid 145hp eDCS6 Cam Tavan","(TSB'de bulunamadı)"
"PEUGEOT","E-2008","ALLURE 115kW (156hp)","(TSB'de bulunamadı)"
"PEUGEOT","E-2008","GT 115kW (156hp)","(TSB'de bulunamadı)"
"PEUGEOT","E-208","GT Elektrikli 100kW (136bg)","(TSB'de bulunamadı)"
"PEUGEOT","E-308","GT 115 kW (156hp)","(TSB'de bulunamadı)"
"PEUGEOT","Partner Van","Comfort Uzun 1.5 BlueHDi 130hp EAT8","(TSB'de bulunamadı)"
"PEUGEOT","E-3008","Allure  157kW (210hp)","(TSB'de bulunamadı)"
"PEUGEOT","E-3008","GT  157kW (210hp)","(TSB'de bulunamadı)"
"PEUGEOT","Boxer Van","L4H2 2.2 BlueHDi 180hp EAT8 S&S (15 m3)","(TSB'de bulunamadı)"
"PEUGEOT","Boxer Van","L4H2 2.2 BlueHDi 180hp EAT8 S&S (17 m3)","(TSB'de bulunamadı)"
"PEUGEOT","Boxer Minibüs","Okul 2.2 BlueHDi 140hp MT6 S&S","(TSB'de bulunamadı)"
"PEUGEOT","E-5008","Allure  210Hp (157 kW)","(TSB'de bulunamadı)"
"PEUGEOT","E-5008","GT  210Hp (157 kW)","(TSB'de bulunamadı)"
"HONDA","HR-V e:HEV","Elegance 1.5L e:HEV Hybrid","(TSB'de bulunamadı)"
"HONDA","HR-V e:HEV","Advance 1.5L e:HEV Hybrid","(TSB'de bulunamadı)"
"HONDA","CR-V e:HEV","Advance 2.0 L Hibrit","(TSB'de bulunamadı)"
"HONDA","ZR-V e:HEV","Advance 2.0L Hibrit","(TSB'de bulunamadı)"
"CITROEN","e-C3","Plus 83 kW Elektrikli Motor","(TSB'de bulunamadı)"
"CITROEN","e-C3","Max 83 kW Elektrikli Motor","(TSB'de bulunamadı)"
"CITROEN","Ami","electric 6 kW Elektrik Motor","(TSB'de bulunamadı)"
"CITROEN","Ami","Dark Side 6 kW Elektrik Motor","(TSB'de bulunamadı)"
"CITROEN","C3 Aircross","Max-7 Koltuk  1.2 Hybrid 145* - eDCS6","(TSB'de bulunamadı)"
"CITROEN","C4","You 1.2 Hybrid 145 eDCS6","(TSB'de bulunamadı)"
"CITROEN","C4","Max 1.2 Hybrid 145 eDCS6","(TSB'de bulunamadı)"
"CITROEN","e-C3 Aircross","Max 83 kW Elektrikli Motor Standart Menzil","(TSB'de bulunamadı)"
"CITROEN","e-C3 Aircross","Max 83 kW Elektrikli Motor Uzun Menzil","(TSB'de bulunamadı)"
"CITROEN","ë-C5 Aircross","Plus 157 kW Elektrikli Motor","(TSB'de bulunamadı)"
"CITROEN","e-C4 X","Max 115 kW Elektrikli Motor","(TSB'de bulunamadı)"
"CITROEN","e-C4","Max 115 kW Elektrikli Motor","(TSB'de bulunamadı)"
"SKODA","Superb","L&K CRYSTAL Combi 1.5 TSI mHEV 150 PS DSG","(TSB'de bulunamadı)"
"SKODA","Superb","Combi L&K Crystal 2.0 TSI 265 PS DSG 4x4","(TSB'de bulunamadı)"
"SKODA","Octavia","Combi Sportline  1.5 TSI mHEV 150 PS DSG","(TSB'de bulunamadı)"
"SKODA","Elroq","ePrestige 60","(TSB'de bulunamadı)"
"ALFA ROMEO","Junıor Elettrıca","Speciale 115 kW 156 HP","(TSB'de bulunamadı)"
"SEAT","İbiza","Style Plus 1.0 TSI 116 PS DSG","(TSB'de bulunamadı)"
"NISSAN","Qashqai","Platinum  1.3 DIG-T 158PS X-Tronic CVT","(TSB'de bulunamadı)"
"NISSAN","Qashqai","Platinum 4WD  1.3 DIG-T 158PS X-Tronic CVT","(TSB'de bulunamadı)"
"NISSAN","Qashqai","Platinum Premium 1.3 DIG-T 158PS X-Tronic CVT 4x4","(TSB'de bulunamadı)"
"NISSAN","Qashqai","Platinum  e-POWER 190PS","(TSB'de bulunamadı)"
"NISSAN","X-Trail","PLATINUM 1.5 VC-T Mild Hybrid 163PS Auto","(TSB'de bulunamadı)"
"NISSAN","X-Trail","PLATINUM PREMIUM 1.5 VC-T Mild Hybrid 163PS Auto","(TSB'de bulunamadı)"
"NISSAN","Townstar Combi EV","Designpack 90 kW","(TSB'de bulunamadı)"
"NISSAN","Townstar Combi EV","Platinum 90 kW","(TSB'de bulunamadı)"
"NISSAN","Townstar Van","EV L1 Tekna+ 90 kW","(TSB'de bulunamadı)"
"AUDI","A3 Sedan","S line 35 Turbo FSI 150 hp S line S tronic PI","A3 SEDAN 1.4 TFSI 140 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 140 AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.6 TDI 105 AMBITION S TRONIC"
"","","","A3 SEDAN 1.6 TDI 105 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 140 AMBITION STRONIC"
"","","","A3 SEDAN 1.6 TDI AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 150 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.6 TDI 110 AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 125 AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 125 AMBITION S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 150 AMBIENTE S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 150 AMBITION S TRONIC"
"","","","A3 SEDAN 1.6 TDI 110 S TRONIC"
"","","","A3 SEDAN 1.6 TDI 110 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.4 TFSI 125 ATTRACTION S TRONIC"
"","","","A3 SEDAN 1.2 TFSI 110 ATTRACTION"
"","","",""
"AUDI","A5 Sedan","Base TFSI quattro 200 kW","(TSB'de bulunamadı)"
"AUDI","Q5 Sportback","Base TFSI quattro 150 kW S tronic","(TSB'de bulunamadı)"
"AUDI","Q5 Sportback","Base TDI quattro 150 kW S tronic","(TSB'de bulunamadı)"
"AUDI","Rs e-tron GT Performance","Base 570 kW PS quattro","(TSB'de bulunamadı)"
"AUDI","Q4 e-tron","Base 40 e-tron","(TSB'de bulunamadı)"
"AUDI","Q4 e-tron","Base  45 e-tron","(TSB'de bulunamadı)"
"AUDI","A6 Avant e-tron","Base e-tron","(TSB'de bulunamadı)"
"AUDI","A6 Avant e-tron","Base e-tron performance","(TSB'de bulunamadı)"
"AUDI","E-tron GT Quattro","Quattro 93.4 kWh (530 BG)","(TSB'de bulunamadı)"
"AUDI","S3 Sportback","Quattro 2.0 Turbo FSI 310 hp S tronic","S3 SPORTBACK 2.0 TFSI QUATTRO"
"","","","RS3 SPORTBACK"
"","","","S3 SPORTBACK S TRONIC"
"","","","S3 SPORTBACK 2.0 TFSI 280 QUATTRO S TRONIC"
"","","","S3 SPORTBACK 2.0 TFSI 285 QUATTRO S TRONIC"
"","","","RS3 SPORTBACK 2.5 TFSI"
"","","",""
"AUDI","RS E-tron GT","Quattro performance 93.4 kWh (530 BG)","(TSB'de bulunamadı)"
"AUDI","RS3 Sportback","Base  TFSI quattro 294 kW S tronic","RS3 SPORTBACK"
"","","","RS3 SPORTBACK 2.5 TFSI"
"","","",""
"AUDI","Yeni A6 Avant","Base TDI quattro 150 kW","(TSB'de bulunamadı)"
"AUDI","A5 Avant","Base TFSI quattro 150 kW S tronic","(TSB'de bulunamadı)"
"AUDI","A5 Avant","Base TDI quattro 150 kW S tronic","(TSB'de bulunamadı)"
"AUDI","Q6 Suv e-tron","Base e-tron 55 quattro","(TSB'de bulunamadı)"
"AUDI","S e-tron GT","Base 435 kW PS quattro","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GLX Black Edition  1.4 MHEV 4x4 6AT AllGrip","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GL Elegance 1.4 MHEV 6AT","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GL Elegance 1.4 MHEV 4x4 6AT AllGrip","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GLX Premium 1.4 MHEV 6AT","(TSB'de bulunamadı)"
"SUZUKI","S-Cross","GLX Premium 1.4 MHEV 4x4 6AT AllGrip","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GLX Black Edition (Çift Renk) 1.4 MHEV Allgrip 6AT (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GL Elegance 1.4 MHEV 6AT (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GL Elegance 1.4 MHEV 6AT AllGrip  (Tek Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GL Elegance 1.4 MHEV Allgrip 6AT (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GLX Premium 1.4 MHEV 6AT (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GLX Premium 1.4 MHEV 6AT AllGrip (Tek Renk)","(TSB'de bulunamadı)"
"SUZUKI","Vitara","GLX Premium  1.4 MHEV 6AT AllGrip (Çift Renk)","(TSB'de bulunamadı)"
"SUZUKI","Swift Hibrit","Life 1.2 MHEV CVT (Çift Renk)","(TSB'de bulunamadı)"
"VOLVO","XC60","Plus Bright T8 AWD plug-in hybrid","(TSB'de bulunamadı)"
"VOLVO","XC60","Plus Dark  Black Edition B5 AWD mild hybrid","(TSB'de bulunamadı)"
"VOLVO","XC60","Plus Black Edition  T8 AWD plug-in hybrid","(TSB'de bulunamadı)"
"VOLVO","EX40","Ultra Black Edition  SINGLE MOTOR EXTENDED RANGE","(TSB'de bulunamadı)"
"VOLVO","EC40","Ultra Black Edition SINGLE MOTOR EXTENDED RANGE","(TSB'de bulunamadı)"